"","from","to"
"6640","22441","22591"
"6641","22591","27371"
"6642","27371","27381"
"6643","27381","27439"
"6644","27439","27449"
"6645","27449","27459"
"6646","27459","27469"
"6647","27469","27479"
"6648","27479","27451"
"6649","27451","27441"
"6650","27441","27431"
"6651","27431","27389"
"6652","27389","27379"
"6653","27379","22599"
"6654","22599","22449"
"6655","22449","22009"
"6656","24009","23081"
"6657","23081","24041"
"6658","24041","24501"
"6659","24501","25219"
"6660","25219","25229"
"6661","25229","25239"
"6662","25239","25249"
"6663","25249","25259"
"6664","25259","25269"
"6665","25269","25411"
"6666","25411","25421"
"6667","25421","25431"
"6668","25431","25441"
"6669","25441","25451"
"6670","25451","25461"
"6671","25461","26201"
"6672","26249","26259"
"6673","26259","26269"
"6674","26269","26279"
"6675","26279","26289"
"6676","26289","26299"
"6677","26369","26379"
"6678","26379","26389"
"6679","26389","26399"
"6680","26399","26409"
"6681","26409","26419"
"6682","26419","26429"
"6683","26429","26211"
"6684","26211","26221"
"6685","26221","26431"
"6686","26431","26441"
"6687","26441","26451"
"6688","26451","26461"
"6689","26461","26311"
"6690","26311","26321"
"6691","26321","26331"
"6692","26331","26349"
"6693","26349","26261"
"6694","26261","26251"
"6695","26251","26241"
"6696","26209","25469"
"6697","25469","25459"
"6698","25459","25449"
"6699","25449","25439"
"6700","25439","25429"
"6701","25429","25419"
"6702","25419","25269"
"6703","25269","25231"
"6704","25231","25221"
"6705","25221","24509"
"6706","24509","24049"
"6707","24049","23089"
"6708","23089","24009"
"6709","24009","23081"
"6710","23081","24041"
"6711","24041","24501"
"6712","24501","25219"
"6713","25219","25229"
"6714","25229","25239"
"6715","25239","25249"
"6716","25249","25259"
"6717","25259","25411"
"6718","25411","25421"
"6719","25421","25431"
"6720","25431","25441"
"6721","25441","25451"
"6722","25451","25461"
"6723","25461","26201"
"6724","26249","26259"
"6725","26259","26269"
"6726","26269","26279"
"6727","26279","26289"
"6728","26289","26299"
"6729","26369","26379"
"6730","26379","26389"
"6731","26389","26399"
"6732","26399","26409"
"6733","26409","26419"
"6734","26419","26429"
"6735","26429","26211"
"6736","26211","26221"
"6737","26221","26431"
"6738","26431","26441"
"6739","26441","26451"
"6740","26451","26461"
"6741","26461","26311"
"6742","26311","26321"
"6743","26321","26331"
"6744","26331","26349"
"6745","26349","26261"
"6746","26261","26251"
"6747","26251","26241"
"6748","26209","25469"
"6749","25469","25459"
"6750","25459","25449"
"6751","25449","25439"
"6752","25439","25429"
"6753","25429","25419"
"6754","25419","25269"
"6755","25269","25231"
"6756","25231","25221"
"6757","25221","24509"
"6758","24509","24049"
"6759","24049","23089"
"6760","23089","24009"
"6761","28009","28441"
"6762","28441","28311"
"6763","28311","28631"
"6764","28631","28641"
"6765","28641","28661"
"6766","28661","28671"
"6767","28671","28681"
"6768","28681","28691"
"6769","28691","28701"
"6770","28701","28189"
"6771","28189","28019"
"6772","28019","20109"
"6773","20109","17189"
"6774","17189","17179"
"6775","17179","17169"
"6776","17169","17159"
"6777","17159","17099"
"6778","17099","16159"
"6779","16159","16149"
"6780","16149","16139"
"6781","16139","16089"
"6782","16089","16079"
"6783","16079","16069"
"6784","16069","16059"
"6785","16059","16049"
"6786","16049","16101"
"6787","16101","16111"
"6788","16111","16121"
"6789","16121","16119"
"6790","16119","16109"
"6791","16109","16041"
"6792","16041","16051"
"6793","16051","16061"
"6794","16061","16071"
"6795","16071","16081"
"6796","16081","16131"
"6797","16131","16141"
"6798","16141","16151"
"6799","16151","17091"
"6800","17091","17151"
"6801","17151","17161"
"6802","17161","17171"
"6803","17171","17181"
"6804","17181","20101"
"6805","20101","28011"
"6806","28011","28181"
"6807","28181","28709"
"6808","28709","28699"
"6809","28699","28689"
"6810","28689","28679"
"6811","28679","28669"
"6812","28669","28649"
"6813","28649","28639"
"6814","28639","28319"
"6815","28319","28449"
"6816","28449","28009"
"6817","28009","28441"
"6818","28441","28311"
"6819","28311","28631"
"6820","28631","28641"
"6821","28641","28661"
"6822","28661","28671"
"6823","28671","28681"
"6824","28681","28691"
"6825","28691","28701"
"6826","28701","28189"
"6827","44049","44251"
"6828","44251","44241"
"6829","44241","44231"
"6830","44231","44229"
"6831","44229","43139"
"6832","43139","43129"
"6833","43129","43099"
"6834","43099","43089"
"6835","43089","43069"
"6836","43069","43059"
"6837","43059","43049"
"6838","43049","43029"
"6839","43029","43019"
"6840","43019","42119"
"6841","42119","42109"
"6842","42109","42089"
"6843","42089","42149"
"6844","42149","12109"
"6845","12109","12099"
"6846","12099","12089"
"6847","12089","12079"
"6848","12079","12069"
"6849","12069","17229"
"6850","17229","17179"
"6851","17179","17169"
"6852","17169","17241"
"6853","17241","17111"
"6854","17111","12061"
"6855","12061","12071"
"6856","12071","12081"
"6857","12081","12091"
"6858","12091","12101"
"6859","12101","42141"
"6860","42141","42071"
"6861","42071","42091"
"6862","42091","42111"
"6863","42111","43011"
"6864","43011","43021"
"6865","43021","43041"
"6866","43041","43051"
"6867","43051","43061"
"6868","43061","43071"
"6869","43071","43081"
"6870","43081","43121"
"6871","43121","43131"
"6872","43131","44221"
"6873","44221","44239"
"6874","44239","44249"
"6875","44249","44259"
"6876","44259","44041"
"6877","22609","22191"
"6878","22191","22181"
"6879","22181","22461"
"6880","22461","22451"
"6881","22451","27301"
"6882","27301","27369"
"6883","27369","27359"
"6884","27359","27439"
"6885","27439","27449"
"6886","27449","27459"
"6887","27459","27469"
"6888","27469","27479"
"6889","27479","21169"
"6890","21169","28539"
"6891","28539","28409"
"6892","28409","28529"
"6893","28529","28519"
"6894","28519","28509"
"6895","28509","28499"
"6896","28499","28469"
"6897","28469","28459"
"6898","28459","28291"
"6899","12209","17379"
"6900","17379","17189"
"6901","17189","17179"
"6902","17179","17169"
"6903","17169","17159"
"6904","17159","19049"
"6905","19049","19039"
"6906","19039","19029"
"6907","19029","19019"
"6908","19019","11199"
"6909","11199","11189"
"6910","11189","11389"
"6911","11389","11379"
"6912","11379","11381"
"6913","11381","11181"
"6914","11181","11191"
"6915","11191","19011"
"6916","19011","19021"
"6917","19021","19031"
"6918","19031","19041"
"6919","19041","17151"
"6920","17151","17161"
"6921","17161","17171"
"6922","17171","17181"
"6923","17181","17371"
"6924","17371","12201"
"6925","28299","28451"
"6926","28451","28461"
"6927","28461","28491"
"6928","28491","28501"
"6929","28501","28511"
"6930","28511","28521"
"6931","28521","28401"
"6932","28401","28531"
"6933","28531","21161"
"6934","21161","27471"
"6935","27471","27461"
"6936","27461","27451"
"6937","27451","27441"
"6938","27441","27431"
"6939","27431","27351"
"6940","27351","27361"
"6941","27361","27309"
"6942","27309","22459"
"6943","22459","22469"
"6944","22469","22189"
"6945","22189","22199"
"6946","22199","22609"
"6947","10221","10231"
"6948","10231","10241"
"6949","10241","10261"
"6950","10261","10271"
"6951","10271","10281"
"6952","10281","10291"
"6953","10291","11131"
"6954","11131","11141"
"6955","11141","11151"
"6956","11151","11061"
"6957","11061","11071"
"6958","11071","11081"
"6959","11081","11091"
"6960","11091","11101"
"6961","11101","11111"
"6962","11111","41101"
"6963","41101","41111"
"6964","41111","41029"
"6965","41029","41019"
"6966","41019","40099"
"6967","40099","40231"
"6968","40231","51091"
"6969","51091","51101"
"6970","51101","51019"
"6971","51019","50161"
"6972","50161","50171"
"6973","50171","50191"
"6974","50191","50201"
"6975","50201","50211"
"6976","50211","50991"
"6977","50991","52129"
"6978","52129","52109"
"6979","52109","52499"
"6980","52499","52451"
"6981","52451","52129"
"6982","52129","52109"
"6983","52109","52099"
"6984","52099","50159"
"6985","50159","50209"
"6986","50209","50199"
"6987","50199","50189"
"6988","50189","50179"
"6989","50179","50169"
"6990","50169","51109"
"6991","51109","51099"
"6992","51099","40249"
"6993","40249","40239"
"6994","40239","40091"
"6995","40091","41011"
"6996","41011","41021"
"6997","41021","41119"
"6998","41119","41109"
"6999","41109","11119"
"7000","11119","11109"
"7001","11109","11099"
"7002","11099","11089"
"7003","11089","11079"
"7004","11079","11069"
"7005","11069","11159"
"7006","11159","11149"
"7007","11149","11139"
"7008","11139","10299"
"7009","10299","10289"
"7010","10289","10279"
"7011","10279","10269"
"7012","10269","10249"
"7013","10249","10239"
"7014","10239","10229"
"7015","46009","46549"
"7016","46549","46539"
"7017","46539","46529"
"7018","46529","46491"
"7019","44269","44239"
"7020","44239","44249"
"7021","44249","44259"
"7022","44259","44149"
"7023","44149","44139"
"7024","44139","44159"
"7025","44159","44169"
"7026","44169","43529"
"7027","43529","43641"
"7028","43641","43831"
"7029","43831","43491"
"7030","43491","43481"
"7031","43481","43471"
"7032","43471","43461"
"7033","43461","43411"
"7034","43411","43701"
"7035","43701","43389"
"7036","43389","43699"
"7037","43699","28629"
"7038","28629","28321"
"7039","28321","28331"
"7040","28331","28451"
"7041","28451","28461"
"7042","28461","28491"
"7043","28491","28501"
"7044","28501","28511"
"7045","28511","28521"
"7046","28521","28399"
"7047","28399","28389"
"7048","28389","28091"
"7049","28091","21681"
"7050","21681","21691"
"7051","21691","22491"
"7052","22491","22009"
"7053","22009","22499"
"7054","22499","21699"
"7055","21699","21689"
"7056","21689","28099"
"7057","28099","28381"
"7058","28381","28391"
"7059","28391","28529"
"7060","28529","28519"
"7061","28519","28509"
"7062","28509","28499"
"7063","28499","28469"
"7064","28469","28459"
"7065","28459","28339"
"7066","28339","28329"
"7067","28329","28621"
"7068","28621","43691"
"7069","43691","43381"
"7070","43381","43709"
"7071","43709","43419"
"7072","43419","43469"
"7073","43469","43479"
"7074","43479","43489"
"7075","43489","43499"
"7076","43499","43839"
"7077","43839","43649"
"7078","43649","43521"
"7079","43521","44161"
"7080","44161","44151"
"7081","44151","44131"
"7082","44131","44141"
"7083","44141","44251"
"7084","44251","44241"
"7085","44241","44231"
"7086","44231","44261"
"7087","46499","46521"
"7088","46521","46531"
"7089","46531","46541"
"7090","46541","46009"
"7091","44009","44461"
"7092","44461","44451"
"7093","44451","44441"
"7094","44441","44121"
"7095","44121","44159"
"7096","44159","44169"
"7097","44169","43529"
"7098","43529","43641"
"7099","43641","43831"
"7100","43831","43491"
"7101","43491","43481"
"7102","43481","43471"
"7103","43471","43461"
"7104","43461","43401"
"7105","43401","43321"
"7106","43321","43371"
"7107","43371","43699"
"7108","43699","28629"
"7109","28629","28631"
"7110","28631","28641"
"7111","28641","28651"
"7112","28651","28049"
"7113","28049","28039"
"7114","28039","28029"
"7115","28029","28019"
"7116","28019","20109"
"7117","20109","17051"
"7118","17051","20019"
"7119","20019","17149"
"7120","17149","17139"
"7121","17139","17191"
"7122","17191","16159"
"7123","16159","16149"
"7124","16149","16139"
"7125","16139","16089"
"7126","16089","16079"
"7127","16079","16069"
"7128","16069","16059"
"7129","16059","16049"
"7130","16049","16039"
"7131","16039","16029"
"7132","16029","16019"
"7133","16019","16209"
"7134","16209","15229"
"7135","15229","15219"
"7136","15219","15209"
"7137","15209","15199"
"7138","15199","15169"
"7139","15169","15159"
"7140","15159","15149"
"7141","15149","14189"
"7142","14189","14179"
"7143","14179","14169"
"7144","14169","14159"
"7145","14159","14139"
"7146","14139","14009"
"7147","14009","14131"
"7148","14131","14151"
"7149","14151","14161"
"7150","14161","14171"
"7151","14171","15141"
"7152","15141","15151"
"7153","15151","15161"
"7154","15161","15191"
"7155","15191","15201"
"7156","15201","15221"
"7157","15221","16201"
"7158","16201","16011"
"7159","16011","16021"
"7160","16021","16031"
"7161","16031","16041"
"7162","16041","16051"
"7163","16051","16061"
"7164","16061","16071"
"7165","16071","16081"
"7166","16081","16131"
"7167","16131","16141"
"7168","16141","16151"
"7169","16151","17121"
"7170","17121","17131"
"7171","17131","17141"
"7172","17141","17059"
"7173","17059","20101"
"7174","20101","28011"
"7175","28011","28021"
"7176","28021","28031"
"7177","28031","28041"
"7178","28041","28659"
"7179","28659","28649"
"7180","28649","28639"
"7181","28639","28621"
"7182","28621","43691"
"7183","43691","43379"
"7184","43379","43329"
"7185","43329","43409"
"7186","43409","43469"
"7187","43469","43479"
"7188","43479","43489"
"7189","43489","43499"
"7190","43499","43839"
"7191","43839","43649"
"7192","43649","43521"
"7193","43521","44161"
"7194","44161","44151"
"7195","44151","44129"
"7196","44129","44449"
"7197","44449","44459"
"7198","44459","44469"
"7199","44469","44009"
"7200","44009","44461"
"7201","44461","44451"
"7202","44451","44441"
"7203","44441","44121"
"7204","43641","43831"
"7205","43831","43491"
"7206","43491","43481"
"7207","43481","43471"
"7208","43471","43461"
"7209","43461","43401"
"7210","43401","43321"
"7211","43321","43371"
"7212","43371","43699"
"7213","43699","28629"
"7214","28629","28631"
"7215","28631","28641"
"7216","28641","28651"
"7217","16159","16149"
"7218","16149","16139"
"7219","15199","15169"
"7220","15169","15159"
"7221","15159","15149"
"7222","44009","44461"
"7223","44461","44451"
"7224","44451","44441"
"7225","44441","44121"
"7226","43641","43831"
"7227","43831","43491"
"7228","43491","43481"
"7229","43481","43471"
"7230","43471","43461"
"7231","43461","43401"
"7232","43401","43321"
"7233","43321","43371"
"7234","43371","43699"
"7235","43699","28629"
"7236","28629","28631"
"7237","28631","28641"
"7238","28641","28651"
"7239","14169","14129"
"7240","14129","14519"
"7241","14519","14121"
"7242","14121","14161"
"7243","28659","28649"
"7244","28649","28639"
"7245","28639","28621"
"7246","28621","43691"
"7247","43691","43379"
"7248","43379","43329"
"7249","43329","43409"
"7250","43409","43469"
"7251","43469","43479"
"7252","43479","43489"
"7253","43489","43499"
"7254","43499","43839"
"7255","43839","43649"
"7256","44129","44449"
"7257","44449","44459"
"7258","44459","44469"
"7259","44469","44009"
"7260","43009","43701"
"7261","43701","43389"
"7262","43389","43519"
"7263","43519","43599"
"7264","43599","43509"
"7265","43509","43219"
"7266","43219","43319"
"7267","43319","42319"
"7268","42319","12209"
"7269","12209","17379"
"7270","17379","17189"
"7271","17189","17179"
"7272","17179","17259"
"7273","17259","17191"
"7274","17191","16991"
"7275","16991","16891"
"7276","16891","17161"
"7277","17161","17171"
"7278","17171","17181"
"7279","17181","17371"
"7280","17371","12201"
"7281","12201","42311"
"7282","42311","43311"
"7283","43311","43211"
"7284","43211","43501"
"7285","43501","43591"
"7286","43591","43511"
"7287","43511","43381"
"7288","43381","43709"
"7289","43709","43009"
"7290","43009","43701"
"7291","43701","43389"
"7292","43389","43519"
"7293","43519","43599"
"7294","43599","43509"
"7295","43509","43219"
"7296","43219","43319"
"7297","75009","76191"
"7298","76191","76201"
"7299","76201","76211"
"7300","76211","76221"
"7301","76221","76231"
"7302","76231","76241"
"7303","76241","98011"
"7304","98011","98021"
"7305","98021","98031"
"7306","98031","98041"
"7307","98041","98231"
"7308","98231","98051"
"7309","98051","98061"
"7310","98061","98071"
"7311","98071","99011"
"7312","99011","99021"
"7313","99021","99031"
"7314","99031","99041"
"7315","99041","99181"
"7316","99181","99171"
"7317","99171","99161"
"7318","99161","95071"
"7319","95091","95131"
"7320","95131","95141"
"7321","95141","95061"
"7322","95061","95051"
"7323","95051","95041"
"7324","95041","95039"
"7325","95039","95049"
"7326","95049","95069"
"7327","95069","95149"
"7328","95149","95139"
"7329","95139","95099"
"7330","95099","95089"
"7331","95089","95079"
"7332","95079","99189"
"7333","99189","99049"
"7334","99049","99039"
"7335","99039","99029"
"7336","99029","99019"
"7337","99019","98079"
"7338","98079","98069"
"7339","98069","98059"
"7340","98059","98239"
"7341","98239","98049"
"7342","98049","98039"
"7343","98039","98029"
"7344","98029","98019"
"7345","98019","76249"
"7346","76249","76239"
"7347","76239","76229"
"7348","76229","76219"
"7349","76219","76209"
"7350","76209","76199"
"7351","76199","75009"
"7352","44009","44539"
"7353","44539","44399"
"7354","44399","44299"
"7355","44299","44289"
"7356","44289","44279"
"7357","44279","44141"
"7358","44141","44251"
"7359","44251","44241"
"7360","44241","44231"
"7361","44231","44261"
"7362","40239","40229"
"7363","40229","40219"
"7364","40219","40209"
"7365","40209","40199"
"7366","10011","10041"
"7367","10041","10499"
"7368","10499","10049"
"7369","10049","10017"
"7370","40191","40201"
"7371","40201","40211"
"7372","40211","40221"
"7373","40221","40231"
"7374","44269","44239"
"7375","44239","44249"
"7376","44249","44259"
"7377","44259","44149"
"7378","44149","44271"
"7379","44271","44281"
"7380","44281","44291"
"7381","44291","44391"
"7382","44391","44009"
"7383","44009","44539"
"7384","44539","44399"
"7385","44399","44299"
"7386","44299","44289"
"7387","44289","44279"
"7388","44279","44141"
"7389","44141","44251"
"7390","44251","44241"
"7391","44241","44231"
"7392","44231","44261"
"7393","40239","40229"
"7394","40229","40219"
"7395","40219","40209"
"7396","40209","40199"
"7397","11379","11381"
"7398","11381","11181"
"7399","11181","11369"
"7400","11369","18149"
"7401","18149","18151"
"7402","18151","18171"
"7403","18171","18181"
"7404","18181","18191"
"7405","18191","18211"
"7406","18211","18201"
"7407","18201","18199"
"7408","18199","18189"
"7409","18189","18179"
"7410","18179","18159"
"7411","18159","18141"
"7412","18141","11361"
"7413","11361","11189"
"7414","11189","11389"
"7415","11389","11379"
"7416","22009","22251"
"7417","22251","22241"
"7418","22241","22539"
"7419","22539","22521"
"7420","22521","22469"
"7421","22469","22479"
"7422","22479","23041"
"7423","23041","23051"
"7424","23051","23061"
"7425","23061","23071"
"7426","23071","23379"
"7427","23379","23519"
"7428","23519","24011"
"7429","24011","24021"
"7430","24021","24511"
"7431","24511","25201"
"7432","25201","25199"
"7433","25199","25189"
"7434","25189","25179"
"7435","25179","25169"
"7436","25169","25129"
"7437","25129","25119"
"7438","25119","25109"
"7439","25109","25099"
"7440","25099","25819"
"7441","25819","25519"
"7442","25519","24719"
"7443","24719","25689"
"7444","25689","25449"
"7445","25449","25439"
"7446","25439","25429"
"7447","25429","25009"
"7448","25009","25421"
"7449","25421","25431"
"7450","25431","25441"
"7451","25441","25681"
"7452","25681","24711"
"7453","24711","25511"
"7454","25511","25811"
"7455","25811","25091"
"7456","25091","25101"
"7457","25101","25111"
"7458","25111","25121"
"7459","25121","25151"
"7460","25151","25161"
"7461","25161","25171"
"7462","25171","25181"
"7463","25181","25191"
"7464","25191","25209"
"7465","25209","24519"
"7466","24519","24029"
"7467","24029","24019"
"7468","24019","23371"
"7469","23371","23079"
"7470","23079","23069"
"7471","23069","23059"
"7472","23059","23049"
"7473","23049","22471"
"7474","22471","22461"
"7475","22461","22529"
"7476","22529","22531"
"7477","22531","22249"
"7478","22249","22259"
"7479","22259","22009"
"7480","22009","22441"
"7481","22441","22591"
"7482","22591","22341"
"7483","22341","22351"
"7484","22351","22361"
"7485","22361","22459"
"7486","22459","22469"
"7487","22469","22189"
"7488","22189","22179"
"7489","22179","22169"
"7490","22169","23501"
"7491","23501","23091"
"7492","23091","23101"
"7493","23101","23111"
"7494","23111","23121"
"7495","23121","23131"
"7496","23131","23141"
"7497","23141","23489"
"7498","23489","23519"
"7499","23519","24011"
"7500","24011","24021"
"7501","24021","24511"
"7502","24511","24521"
"7503","24521","25321"
"7504","25321","25331"
"7505","25331","25341"
"7506","25341","25351"
"7507","25351","25369"
"7508","25369","25371"
"7509","25371","25381"
"7510","25381","25061"
"7511","25061","25071"
"7512","25071","25519"
"7513","25519","24719"
"7514","24719","25399"
"7515","25399","26209"
"7516","26209","25469"
"7517","25469","25459"
"7518","25459","25449"
"7519","25449","25439"
"7520","25439","25429"
"7521","25429","25009"
"7522","25009","25421"
"7523","25421","25431"
"7524","25431","25441"
"7525","25441","25451"
"7526","25451","25461"
"7527","25461","26201"
"7528","26201","25391"
"7529","25391","24711"
"7530","24711","25511"
"7531","25511","25079"
"7532","25079","25069"
"7533","25069","25389"
"7534","25389","25379"
"7535","25379","25361"
"7536","25361","25359"
"7537","25359","25349"
"7538","25349","25339"
"7539","25339","25329"
"7540","25329","24529"
"7541","24529","24519"
"7542","24519","24029"
"7543","24029","24019"
"7544","24019","23371"
"7545","23371","23481"
"7546","23481","23149"
"7547","23149","23139"
"7548","23139","23129"
"7549","23129","23119"
"7550","23119","23109"
"7551","23109","23099"
"7552","23099","23509"
"7553","23509","22161"
"7554","22161","22171"
"7555","22171","22181"
"7556","22181","22461"
"7557","22461","22451"
"7558","22451","22369"
"7559","22369","22359"
"7560","22359","22349"
"7561","22349","22599"
"7562","22599","22449"
"7563","22449","22009"
"7564","22011","22021"
"7565","22021","22031"
"7566","22031","22039"
"7567","22039","22029"
"7568","22029","22019"
"7569","13109","13099"
"7570","13099","13089"
"7571","13089","13079"
"7572","13079","13139"
"7573","13139","13119"
"7574","10141","10151"
"7575","10151","10161"
"7576","10161","10379"
"7577","10379","10369"
"7578","10369","14039"
"7579","14039","14291"
"7580","14291","14271"
"7581","14271","14281"
"7582","14281","14241"
"7583","14241","14191"
"7584","14191","14201"
"7585","14201","14471"
"7586","14471","14211"
"7587","14211","11511"
"7588","11511","11521"
"7589","11521","11531"
"7590","11531","11131"
"7591","11131","11141"
"7592","11141","11151"
"7593","11151","11061"
"7594","11061","11439"
"7595","11439","11429"
"7596","11429","11169"
"7597","11169","11159"
"7598","11159","11149"
"7599","11149","11539"
"7600","11539","11529"
"7601","11529","11519"
"7602","11519","14369"
"7603","14369","14219"
"7604","14219","14209"
"7605","14209","14199"
"7606","14199","14249"
"7607","14249","14279"
"7608","14279","14299"
"7609","14299","14031"
"7610","14031","10361"
"7611","10361","10371"
"7612","10371","10169"
"7613","10169","10149"
"7614","13121","13071"
"7615","13071","13081"
"7616","13081","13091"
"7617","13091","13101"
"7618","13109","13099"
"7619","13099","13089"
"7620","13089","13079"
"7621","13079","13139"
"7622","13139","13119"
"7623","10141","10151"
"7624","10151","10161"
"7625","10161","10379"
"7626","10379","10369"
"7627","10369","14039"
"7628","14039","14291"
"7629","14291","14271"
"7630","14271","14281"
"7631","14281","14241"
"7632","14241","14191"
"7633","14191","14201"
"7634","14201","14471"
"7635","14471","14211"
"7636","14211","11511"
"7637","11511","11521"
"7638","11521","11531"
"7639","11531","11131"
"7640","11131","11141"
"7641","11141","11151"
"7642","11151","11061"
"7643","11061","11439"
"7644","11439","11429"
"7645","11429","11169"
"7646","11169","11159"
"7647","11159","11149"
"7648","11149","11539"
"7649","11539","11529"
"7650","11529","11519"
"7651","11519","14369"
"7652","14369","14219"
"7653","14219","14209"
"7654","14209","14199"
"7655","14199","14249"
"7656","14249","14279"
"7657","14279","14299"
"7658","14299","14031"
"7659","14031","10361"
"7660","10361","10371"
"7661","10371","10169"
"7662","84009","84139"
"7663","84139","84129"
"7664","84129","84151"
"7665","84151","93131"
"7666","93131","93049"
"7667","93049","93039"
"7668","93039","93201"
"7669","93201","93029"
"7670","93029","93019"
"7671","93019","92089"
"7672","92089","92211"
"7673","92211","92221"
"7674","92221","92231"
"7675","92231","92069"
"7676","92069","92059"
"7677","92059","92049"
"7678","92049","92241"
"7679","92241","92099"
"7680","92099","91079"
"7681","91079","91069"
"7682","91069","91059"
"7683","91059","91049"
"7684","91049","91091"
"7685","91091","80271"
"7686","80271","80141"
"7687","80141","80219"
"7688","80219","80169"
"7689","80169","80159"
"7690","10021","10041"
"7691","10041","10051"
"7692","10051","10061"
"7693","10061","10071"
"7694","10071","10501"
"7695","10501","10081"
"7696","10081","10091"
"7697","10091","10101"
"7698","10101","10111"
"7699","10111","10131"
"7700","10131","11021"
"7701","11021","11031"
"7702","11031","11041"
"7703","11041","11051"
"7704","11051","11161"
"7705","11161","11171"
"7706","11171","11181"
"7707","11181","11369"
"7708","11369","18149"
"7709","18149","18119"
"7710","18119","19089"
"7711","19089","19079"
"7712","19079","19069"
"7713","19069","19059"
"7714","19059","17099"
"7715","17099","17121"
"7716","17121","17131"
"7717","17131","17141"
"7718","17141","17059"
"7719","17059","17189"
"7720","17189","17009"
"7721","17009","17181"
"7722","17181","17051"
"7723","17051","20019"
"7724","20019","17149"
"7725","17149","17139"
"7726","17139","17191"
"7727","17191","19051"
"7728","19051","19061"
"7729","19061","19071"
"7730","19071","19081"
"7731","19081","18111"
"7732","18111","18141"
"7733","18141","11361"
"7734","11361","11189"
"7735","11189","11179"
"7736","11179","11169"
"7737","11169","11059"
"7738","11059","11049"
"7739","11049","11039"
"7740","11039","11029"
"7741","11029","11019"
"7742","11019","10139"
"7743","10139","10119"
"7744","10119","10109"
"7745","10109","10099"
"7746","10099","10089"
"7747","10089","10079"
"7748","10079","10069"
"7749","10069","10059"
"7750","10059","10049"
"7751","10049","10017"
"7752","80151","80161"
"7753","80161","80211"
"7754","80211","80149"
"7755","80149","80279"
"7756","80279","91099"
"7757","91099","91041"
"7758","91041","91051"
"7759","91051","91061"
"7760","91061","91071"
"7761","91071","92249"
"7762","92249","92041"
"7763","92041","92051"
"7764","92051","92061"
"7765","92061","92239"
"7766","92239","92071"
"7767","92071","92081"
"7768","92081","93011"
"7769","93011","93021"
"7770","93021","93031"
"7771","93031","93041"
"7772","93041","93139"
"7773","93139","84159"
"7774","84159","84121"
"7775","84121","84131"
"7776","84131","84009"
"7777","84009","84139"
"7778","84139","84129"
"7779","84129","84151"
"7780","84151","93131"
"7781","93131","93049"
"7782","93049","93039"
"7783","93039","93201"
"7784","93201","93029"
"7785","93029","93019"
"7786","93019","92089"
"7787","92089","92211"
"7788","92211","92221"
"7789","92221","92231"
"7790","92231","92069"
"7791","92069","92059"
"7792","92059","92049"
"7793","92049","92241"
"7794","92241","92099"
"7795","92099","91079"
"7796","91079","91069"
"7797","91069","91059"
"7798","91059","91049"
"7799","91049","91091"
"7800","91091","80271"
"7801","80271","80141"
"7802","80141","80219"
"7803","80219","80169"
"7804","80169","80159"
"7805","93049","93039"
"7806","93039","93201"
"7807","93201","93029"
"7808","93029","93019"
"7809","93019","92089"
"7810","92089","92211"
"7811","92211","92221"
"7812","92221","92231"
"7813","92231","92069"
"7814","92069","92059"
"7815","92059","92049"
"7816","92049","92241"
"7817","92249","92041"
"7818","92041","92051"
"7819","92051","92061"
"7820","92061","92239"
"7821","92239","92071"
"7822","92071","92081"
"7823","92081","93011"
"7824","93011","93021"
"7825","93021","93031"
"7826","93031","93041"
"7827","84009","84139"
"7828","84139","84129"
"7829","84129","84151"
"7830","84151","93131"
"7831","93131","93049"
"7832","93049","93039"
"7833","93039","93201"
"7834","93201","93029"
"7835","93029","93019"
"7836","93019","92089"
"7837","92089","92079"
"7838","92079","92069"
"7839","92069","92059"
"7840","92059","92049"
"7841","92049","92241"
"7842","92241","92161"
"7843","92161","82071"
"7844","82071","82081"
"7845","82081","82091"
"7846","82091","82231"
"7847","82231","81141"
"7848","81141","81151"
"7849","81151","81161"
"7850","81161","80259"
"7851","80259","80111"
"7852","80111","80049"
"7853","80049","80039"
"7854","80039","80029"
"7855","10021","10041"
"7856","10041","10051"
"7857","10051","10061"
"7858","10061","10071"
"7859","10071","10501"
"7860","10501","10081"
"7861","10081","10091"
"7862","10091","10101"
"7863","10101","10111"
"7864","10111","10131"
"7865","10131","11519"
"7866","11519","18041"
"7867","18041","18131"
"7868","18131","18101"
"7869","18101","18071"
"7870","18071","16091"
"7871","16091","17121"
"7872","17121","17131"
"7873","17131","17141"
"7874","17141","20011"
"7875","20011","20021"
"7876","20021","20031"
"7877","20031","20051"
"7878","20051","20271"
"7879","20271","28221"
"7880","28221","28231"
"7881","28231","28241"
"7882","28241","28439"
"7883","28439","28009"
"7884","28009","28301"
"7885","28301","28431"
"7886","28431","28249"
"7887","28249","28239"
"7888","28239","28229"
"7889","28229","20059"
"7890","20059","20039"
"7891","20039","20029"
"7892","20029","20019"
"7893","20019","17149"
"7894","17149","17139"
"7895","17139","17129"
"7896","17129","16099"
"7897","16099","18079"
"7898","18079","18109"
"7899","18109","18049"
"7900","18049","11511"
"7901","11511","11019"
"7902","11019","10139"
"7903","10139","10119"
"7904","10119","10109"
"7905","10109","10099"
"7906","10099","10089"
"7907","10089","10079"
"7908","10079","10069"
"7909","10069","10059"
"7910","10059","10049"
"7911","10049","10017"
